nomeImagem;dataCriacao;identificadorImagem
NomeTeste;01/01/2010;1
NomeTeste;02/01/2010;4
NomeTeste;03/01/2010;5
NomeTeste;04/01/2010;6
NomeTeste;05/01/2010;8
NomeTeste;06/01/2010;9
NomeTeste;07/01/2010;10
NomeTeste;08/01/2010;13
NomeTeste;09/01/2010;14
NomeTeste;10/01/2010;16
NomeTeste;11/01/2010;18
NomeTeste;12/01/2010;19
NomeTeste;13/01/2010;20
NomeTeste;14/01/2010;21
NomeTeste;15/01/2010;24
NomeTeste;16/01/2010;25
NomeTeste;17/01/2010;26
NomeTeste;18/01/2010;27
NomeTeste;19/01/2010;28
NomeTeste;20/01/2010;29
NomeTeste;21/01/2010;30
NomeTeste;22/01/2010;33
NomeTeste;23/01/2010;34
NomeTeste;24/01/2010;37
NomeTeste;25/01/2010;38
NomeTeste;26/01/2010;39
NomeTeste;27/01/2010;40
NomeTeste;28/01/2010;41
NomeTeste;29/01/2010;42
NomeTeste;30/01/2010;47
NomeTeste;31/01/2010;48
NomeTeste;01/02/2010;50
NomeTeste;02/02/2010;51
NomeTeste;03/02/2010;53
NomeTeste;04/02/2010;54
NomeTeste;05/02/2010;55
NomeTeste;06/02/2010;58
NomeTeste;07/02/2010;59
NomeTeste;08/02/2010;61
NomeTeste;09/02/2010;64
NomeTeste;10/02/2010;65
NomeTeste;11/02/2010;67
NomeTeste;12/02/2010;69
NomeTeste;13/02/2010;70
NomeTeste;14/02/2010;71
NomeTeste;15/02/2010;74
NomeTeste;16/02/2010;76
NomeTeste;17/02/2010;77
NomeTeste;18/02/2010;78
NomeTeste;19/02/2010;79
NomeTeste;20/02/2010;80
NomeTeste;21/02/2010;81
NomeTeste;22/02/2010;82
NomeTeste;23/02/2010;87
NomeTeste;24/02/2010;88
NomeTeste;25/02/2010;91
NomeTeste;26/02/2010;94
NomeTeste;27/02/2010;96
NomeTeste;28/02/2010;99
NomeTeste;01/03/2010;101
NomeTeste;02/03/2010;105
NomeTeste;03/03/2010;107
NomeTeste;04/03/2010;108
NomeTeste;05/03/2010;110
NomeTeste;06/03/2010;111
NomeTeste;07/03/2010;113
NomeTeste;08/03/2010;115
NomeTeste;09/03/2010;117
NomeTeste;10/03/2010;118
NomeTeste;11/03/2010;121
NomeTeste;12/03/2010;125
NomeTeste;13/03/2010;126
NomeTeste;14/03/2010;127
NomeTeste;15/03/2010;128
NomeTeste;16/03/2010;130
NomeTeste;17/03/2010;131
NomeTeste;18/03/2010;132
NomeTeste;19/03/2010;135
NomeTeste;20/03/2010;137
NomeTeste;21/03/2010;141
NomeTeste;22/03/2010;143
NomeTeste;23/03/2010;144
NomeTeste;24/03/2010;145
NomeTeste;25/03/2010;146
NomeTeste;26/03/2010;155
NomeTeste;27/03/2010;156
NomeTeste;28/03/2010;157
NomeTeste;29/03/2010;158
NomeTeste;30/03/2010;160
NomeTeste;31/03/2010;162
NomeTeste;01/04/2010;163
NomeTeste;02/04/2010;164
NomeTeste;03/04/2010;165
NomeTeste;04/04/2010;166
NomeTeste;05/04/2010;168
NomeTeste;06/04/2010;169
NomeTeste;07/04/2010;170
NomeTeste;08/04/2010;177
NomeTeste;09/04/2010;179
NomeTeste;10/04/2010;180
NomeTeste;11/04/2010;182
NomeTeste;12/04/2010;183
NomeTeste;13/04/2010;185
NomeTeste;14/04/2010;186
NomeTeste;15/04/2010;187
NomeTeste;16/04/2010;188
NomeTeste;17/04/2010;189
NomeTeste;18/04/2010;191
NomeTeste;19/04/2010;199
NomeTeste;20/04/2010;202
NomeTeste;21/04/2010;203
NomeTeste;22/04/2010;206
NomeTeste;23/04/2010;207
NomeTeste;24/04/2010;208
NomeTeste;25/04/2010;209
NomeTeste;26/04/2010;210
NomeTeste;27/04/2010;213
NomeTeste;28/04/2010;215
NomeTeste;29/04/2010;216
NomeTeste;30/04/2010;218
NomeTeste;01/05/2010;220
NomeTeste;02/05/2010;222
NomeTeste;03/05/2010;224
NomeTeste;04/05/2010;227
NomeTeste;05/05/2010;229
NomeTeste;06/05/2010;230
NomeTeste;07/05/2010;233
NomeTeste;08/05/2010;234
NomeTeste;09/05/2010;238
NomeTeste;10/05/2010;239
NomeTeste;11/05/2010;240
NomeTeste;12/05/2010;244
NomeTeste;13/05/2010;248
NomeTeste;14/05/2010;255
NomeTeste;15/05/2010;258
NomeTeste;16/05/2010;259
NomeTeste;17/05/2010;262
NomeTeste;18/05/2010;263
NomeTeste;19/05/2010;264
NomeTeste;20/05/2010;266
NomeTeste;21/05/2010;267
NomeTeste;22/05/2010;268
NomeTeste;23/05/2010;269
NomeTeste;24/05/2010;271
NomeTeste;25/05/2010;273
NomeTeste;26/05/2010;274
NomeTeste;27/05/2010;275
NomeTeste;28/05/2010;281
NomeTeste;29/05/2010;282
NomeTeste;30/05/2010;283
NomeTeste;31/05/2010;288
NomeTeste;01/06/2010;289
NomeTeste;02/06/2010;290
NomeTeste;03/06/2010;293
NomeTeste;04/06/2010;294
NomeTeste;05/06/2010;295
NomeTeste;06/06/2010;296
NomeTeste;07/06/2010;298
NomeTeste;08/06/2010;299
NomeTeste;09/06/2010;300
NomeTeste;10/06/2010;303
NomeTeste;11/06/2010;306
NomeTeste;12/06/2010;307
NomeTeste;13/06/2010;308
NomeTeste;14/06/2010;311
NomeTeste;15/06/2010;313
NomeTeste;16/06/2010;315
NomeTeste;17/06/2010;318
NomeTeste;18/06/2010;319
NomeTeste;19/06/2010;320
NomeTeste;20/06/2010;325
NomeTeste;21/06/2010;327
NomeTeste;22/06/2010;329
NomeTeste;23/06/2010;331
NomeTeste;24/06/2010;332
NomeTeste;25/06/2010;334
NomeTeste;26/06/2010;336
NomeTeste;27/06/2010;337
NomeTeste;28/06/2010;338
NomeTeste;29/06/2010;341
NomeTeste;30/06/2010;342
NomeTeste;01/07/2010;343
NomeTeste;02/07/2010;345
NomeTeste;03/07/2010;346
NomeTeste;04/07/2010;347
NomeTeste;05/07/2010;348
NomeTeste;06/07/2010;349
NomeTeste;07/07/2010;350
NomeTeste;08/07/2010;351
NomeTeste;09/07/2010;355
NomeTeste;10/07/2010;356
NomeTeste;11/07/2010;357
NomeTeste;12/07/2010;359
NomeTeste;13/07/2010;360
NomeTeste;14/07/2010;362
NomeTeste;15/07/2010;363
NomeTeste;16/07/2010;364
NomeTeste;17/07/2010;367
NomeTeste;18/07/2010;369
NomeTeste;19/07/2010;373
NomeTeste;20/07/2010;374
NomeTeste;21/07/2010;376
NomeTeste;22/07/2010;380
