nomeImagem;dataCriacao;identificadorImagem
NomeTeste;01/01/2010;2
NomeTeste;02/01/2010;4
NomeTeste;03/01/2010;6
NomeTeste;04/01/2010;7
NomeTeste;05/01/2010;9
NomeTeste;06/01/2010;10
NomeTeste;07/01/2010;14
NomeTeste;08/01/2010;15
NomeTeste;09/01/2010;18
NomeTeste;10/01/2010;19
NomeTeste;11/01/2010;22
NomeTeste;12/01/2010;23
NomeTeste;13/01/2010;24
NomeTeste;14/01/2010;26
NomeTeste;15/01/2010;30
NomeTeste;16/01/2010;31
NomeTeste;17/01/2010;33
NomeTeste;18/01/2010;35
NomeTeste;19/01/2010;37
NomeTeste;20/01/2010;41
NomeTeste;21/01/2010;42
NomeTeste;22/01/2010;43
NomeTeste;23/01/2010;44
NomeTeste;24/01/2010;45
NomeTeste;25/01/2010;48
NomeTeste;26/01/2010;49
NomeTeste;27/01/2010;50
NomeTeste;28/01/2010;53
NomeTeste;29/01/2010;55
NomeTeste;30/01/2010;59
NomeTeste;31/01/2010;60
NomeTeste;01/02/2010;61
NomeTeste;02/02/2010;62
NomeTeste;03/02/2010;65
NomeTeste;04/02/2010;66
NomeTeste;05/02/2010;67
NomeTeste;06/02/2010;71
NomeTeste;07/02/2010;72
NomeTeste;08/02/2010;73
NomeTeste;09/02/2010;76
NomeTeste;10/02/2010;81
NomeTeste;11/02/2010;82
NomeTeste;12/02/2010;84
NomeTeste;13/02/2010;87
NomeTeste;14/02/2010;91
NomeTeste;15/02/2010;92
NomeTeste;16/02/2010;96
NomeTeste;17/02/2010;97
NomeTeste;18/02/2010;99
NomeTeste;19/02/2010;102
NomeTeste;20/02/2010;106
NomeTeste;21/02/2010;107
NomeTeste;22/02/2010;110
NomeTeste;23/02/2010;112
NomeTeste;24/02/2010;113
NomeTeste;25/02/2010;115
NomeTeste;26/02/2010;121
NomeTeste;27/02/2010;123
NomeTeste;28/02/2010;124
NomeTeste;01/03/2010;132
NomeTeste;02/03/2010;133
NomeTeste;03/03/2010;134
NomeTeste;04/03/2010;135
NomeTeste;05/03/2010;136
NomeTeste;06/03/2010;138
NomeTeste;07/03/2010;139
NomeTeste;08/03/2010;140
NomeTeste;09/03/2010;141
NomeTeste;10/03/2010;143
NomeTeste;11/03/2010;145
NomeTeste;12/03/2010;147
NomeTeste;13/03/2010;148
NomeTeste;14/03/2010;149
NomeTeste;15/03/2010;157
NomeTeste;16/03/2010;158
NomeTeste;17/03/2010;159
NomeTeste;18/03/2010;160
NomeTeste;19/03/2010;163
NomeTeste;20/03/2010;164
NomeTeste;21/03/2010;169
NomeTeste;22/03/2010;171
NomeTeste;23/03/2010;172
NomeTeste;24/03/2010;176
NomeTeste;25/03/2010;177
NomeTeste;26/03/2010;178
NomeTeste;27/03/2010;180
NomeTeste;28/03/2010;182
NomeTeste;29/03/2010;183
NomeTeste;30/03/2010;184
NomeTeste;31/03/2010;186
NomeTeste;01/04/2010;187
NomeTeste;02/04/2010;189
NomeTeste;03/04/2010;191
NomeTeste;04/04/2010;196
NomeTeste;05/04/2010;197
NomeTeste;06/04/2010;198
NomeTeste;07/04/2010;202
NomeTeste;08/04/2010;205
NomeTeste;09/04/2010;207
NomeTeste;10/04/2010;210
NomeTeste;11/04/2010;211
NomeTeste;12/04/2010;212
NomeTeste;13/04/2010;213
NomeTeste;14/04/2010;215
NomeTeste;15/04/2010;216
NomeTeste;16/04/2010;217
NomeTeste;17/04/2010;219
NomeTeste;18/04/2010;220
NomeTeste;19/04/2010;221
NomeTeste;20/04/2010;222
NomeTeste;21/04/2010;223
NomeTeste;22/04/2010;226
NomeTeste;23/04/2010;228
NomeTeste;24/04/2010;229
NomeTeste;25/04/2010;232
NomeTeste;26/04/2010;233
NomeTeste;27/04/2010;237
NomeTeste;28/04/2010;239
NomeTeste;29/04/2010;241
NomeTeste;30/04/2010;242
NomeTeste;01/05/2010;244
NomeTeste;02/05/2010;245
NomeTeste;03/05/2010;246
NomeTeste;04/05/2010;250
NomeTeste;05/05/2010;255
NomeTeste;06/05/2010;258
NomeTeste;07/05/2010;259
NomeTeste;08/05/2010;261
NomeTeste;09/05/2010;263
NomeTeste;10/05/2010;266
NomeTeste;11/05/2010;267
NomeTeste;12/05/2010;268
NomeTeste;13/05/2010;271
NomeTeste;14/05/2010;273
NomeTeste;15/05/2010;275
NomeTeste;16/05/2010;276
NomeTeste;17/05/2010;279
NomeTeste;18/05/2010;284
NomeTeste;19/05/2010;286
NomeTeste;20/05/2010;287
NomeTeste;21/05/2010;288
NomeTeste;22/05/2010;290
NomeTeste;23/05/2010;291
NomeTeste;24/05/2010;295
NomeTeste;25/05/2010;297
NomeTeste;26/05/2010;298
NomeTeste;27/05/2010;301
NomeTeste;28/05/2010;302
NomeTeste;29/05/2010;303
NomeTeste;30/05/2010;304
NomeTeste;31/05/2010;306
NomeTeste;01/06/2010;307
NomeTeste;02/06/2010;310
NomeTeste;03/06/2010;311
NomeTeste;04/06/2010;312
NomeTeste;05/06/2010;314
NomeTeste;06/06/2010;317
NomeTeste;07/06/2010;318
NomeTeste;08/06/2010;321
NomeTeste;09/06/2010;322
NomeTeste;10/06/2010;323
NomeTeste;11/06/2010;324
NomeTeste;12/06/2010;325
NomeTeste;13/06/2010;326
NomeTeste;14/06/2010;327
NomeTeste;15/06/2010;328
NomeTeste;16/06/2010;330
NomeTeste;17/06/2010;331
